x: xxxxxxxxxx, y: xxxxxxxxxx
x: 0000000001, y: 0000000000
x: 0000000001, y: 0000000000
x: 0000000001, y: 0000000001
x: 0000000010, y: 0000000010
x: 0000000100, y: 0000000011
x: 0000000111, y: 0000000100
x: 0000001011, y: 0000000101
x: 0000010000, y: 0000000110
x: 0000010000, y: 0000000110
x: 0000010110, y: 0000000111
x: 0000011101, y: 0000001000
x: 0000011101, y: 0000001000
x: 0000100101, y: 0000001001
x: 0000101110, y: 0000001010
x: 0000101110, y: 0000001010
x: 0000111000, y: 0000001011
x: 0000111000, y: 0000001011
x: 0001000011, y: 0000001100
x: 0001000011, y: 0000001100
x: 0001001111, y: 0000001101
x: 0001011100, y: 0000001110
x: 0001011100, y: 0000001110
x: 0001101010, y: 0000001111
x: 0001101010, y: 0000001111
x: 0001101010, y: 0000001111
x: 0001101010, y: 0000001111
x: 0001111001, y: 0000010000
x: 0001111001, y: 0000010000
x: 0010001001, y: 0000010001
x: 0010011010, y: 0000010010
x: 0010101100, y: 0000010011
x: 0010111111, y: 0000010100
x: 0010111111, y: 0000010100
x: 0010111111, y: 0000010100
x: 0010111111, y: 0000010100
x: 0010111111, y: 0000010100
x: 0011010011, y: 0000010101
x: 0011010011, y: 0000010101
x: 0011101000, y: 0000010110
x: 0011111110, y: 0000010111
x: 0100010101, y: 0000011000
x: 0100101101, y: 0000011001
x: 0101000110, y: 0000011010
x: 0101000110, y: 0000011010
x: 0101000110, y: 0000011010
x: 0101100000, y: 0000011011
x: 0101111011, y: 0000011100
x: 0110010111, y: 0000011101
x: 0110010111, y: 0000011101
x: 0110010111, y: 0000011101
x: 0110010111, y: 0000011101
x: 0110010111, y: 0000011101
x: 0110010111, y: 0000011101
x: 0110110100, y: 0000011110
x: 0110110100, y: 0000011110
x: 0110110100, y: 0000011110
x: 0111010010, y: 0000011111
x: 0111110001, y: 0000100000
x: 0111110001, y: 0000100000
x: 0111110001, y: 0000100000
x: 0111110001, y: 0000100000
x: 0111110001, y: 0000100000
x: 0111110001, y: 0000100000
x: 1000010001, y: 0000100001
x: 1000110010, y: 0000100010
x: 1001010100, y: 0000100011
x: 1001110111, y: 0000100100
x: 1010011011, y: 0000100101
x: 1010011011, y: 0000100101
x: 1010011011, y: 0000100101
x: 1011000000, y: 0000100110
x: 1011100110, y: 0000100111
x: 1100001101, y: 0000101000
x: 1100001101, y: 0000101000
x: 1100001101, y: 0000101000
x: 1100110101, y: 0000101001
x: 1101011110, y: 0000101010
x: 1101011110, y: 0000101010
x: 1110001000, y: 0000101011
x: 1110110011, y: 0000101100
x: 1110110011, y: 0000101100
x: 1111011111, y: 0000101101
x: 0000001100, y: 0000101110
x: 0000111010, y: 0000101111
x: 0000111010, y: 0000101111
x: 0001101001, y: 0000110000
x: 0010011001, y: 0000110001
x: 0010011001, y: 0000110001
x: 0010011001, y: 0000110001
x: 0010011001, y: 0000110001
x: 0010011001, y: 0000110001
x: 0011001010, y: 0000110010
x: 0011111100, y: 0000110011
x: 0011111100, y: 0000110011
x: 0011111100, y: 0000110011
x: 0100101111, y: 0000110100
x: 0101100011, y: 0000110101
x: 0110011000, y: 0000110110
x: 0111001110, y: 0000110111
x: 1000000101, y: 0000111000
x: 1000000101, y: 0000111000
x: 1000111101, y: 0000111001
x: 1001110110, y: 0000111010
x: 1010110000, y: 0000111011
x: 1010110000, y: 0000111011
x: 1010110000, y: 0000111011
x: 1010110000, y: 0000111011
x: 1010110000, y: 0000111011
x: 1010110000, y: 0000111011
x: 1010110000, y: 0000111011
x: 1010110000, y: 0000111011
x: 1011101011, y: 0000111100
x: 1100100111, y: 0000111101
x: 1101100100, y: 0000111110
x: 1110100010, y: 0000111111
x: 1111100001, y: 0001000000
x: 1111100001, y: 0001000000
x: 0000100001, y: 0001000001
x: 0001100010, y: 0001000010
x: 0001100010, y: 0001000010
x: 0001100010, y: 0001000010
x: 0010100100, y: 0001000011
x: 0011100111, y: 0001000100
x: 0011100111, y: 0001000100
x: 0100101011, y: 0001000101
x: 0101110000, y: 0001000110
x: 0110110110, y: 0001000111
x: 0111111101, y: 0001001000
x: 0111111101, y: 0001001000
x: 0111111101, y: 0001001000
x: 0111111101, y: 0001001000
x: 1001000101, y: 0001001001
x: 1001000101, y: 0001001001
x: 1001000101, y: 0001001001
x: 1001000101, y: 0001001001
x: 1010001110, y: 0001001010
x: 1011011000, y: 0001001011
x: 1011011000, y: 0001001011
x: 1011011000, y: 0001001011
x: 1100100011, y: 0001001100
x: 1100100011, y: 0001001100
x: 1100100011, y: 0001001100
x: 1100100011, y: 0001001100
x: 1101101111, y: 0001001101
x: 1101101111, y: 0001001101
x: 1101101111, y: 0001001101
x: 1110111100, y: 0001001110
x: 1110111100, y: 0001001110
x: 0000001010, y: 0001001111
x: 0001011001, y: 0001010000
x: 0010101001, y: 0001010001
x: 0011111010, y: 0001010010
x: 0101001100, y: 0001010011
x: 0101001100, y: 0001010011
x: 0101001100, y: 0001010011
x: 0101001100, y: 0001010011
x: 0110011111, y: 0001010100
x: 0110011111, y: 0001010100
x: 0110011111, y: 0001010100
x: 0111110011, y: 0001010101
x: 1001001000, y: 0001010110
x: 1001001000, y: 0001010110
x: 1001001000, y: 0001010110
x: 1001001000, y: 0001010110
x: 1010011110, y: 0001010111
x: 1011110101, y: 0001011000
x: 1011110101, y: 0001011000
x: 1011110101, y: 0001011000
x: 1011110101, y: 0001011000
x: 1101001101, y: 0001011001
x: 1110100110, y: 0001011010
x: 1110100110, y: 0001011010
x: 1110100110, y: 0001011010
x: 1110100110, y: 0001011010
x: 0000000000, y: 0001011011
x: 0000000000, y: 0001011011
x: 0000000000, y: 0001011011
x: 0001011011, y: 0001011100
x: 0001011011, y: 0001011100
x: 0001011011, y: 0001011100
x: 0001011011, y: 0001011100
x: 0010110111, y: 0001011101
x: 0010110111, y: 0001011101
x: 0100010100, y: 0001011110
x: 0101110010, y: 0001011111
x: 0101110010, y: 0001011111
x: 0101110010, y: 0001011111
x: 0101110010, y: 0001011111
x: 0101110010, y: 0001011111
x: 0111010001, y: 0001100000
x: 0111010001, y: 0001100000
x: 0111010001, y: 0001100000
x: 0111010001, y: 0001100000
x: 0111010001, y: 0001100000
x: 1000110001, y: 0001100001
x: 1010010010, y: 0001100010
x: 1011110100, y: 0001100011
x: 1011110100, y: 0001100011
x: 1101010111, y: 0001100100
x: 1110111011, y: 0001100101
x: 0000100000, y: 0001100110
x: 0000100000, y: 0001100110
x: 0000100000, y: 0001100110
x: 0010000110, y: 0001100111
x: 0011101101, y: 0001101000
x: 0101010101, y: 0001101001
x: 0110111110, y: 0001101010
x: 1000101000, y: 0001101011
x: 1000101000, y: 0001101011
x: 1010010011, y: 0001101100
x: 1011111111, y: 0001101101
x: 1011111111, y: 0001101101
x: 1011111111, y: 0001101101
x: 1011111111, y: 0001101101
x: 1011111111, y: 0001101101
x: 1101101100, y: 0001101110
x: 1111011010, y: 0001101111
x: 1111011010, y: 0001101111
x: 1111011010, y: 0001101111
x: 0001001001, y: 0001110000
x: 0001001001, y: 0001110000
x: 0001001001, y: 0001110000
x: 0010111001, y: 0001110001
x: 0010111001, y: 0001110001
x: 0010111001, y: 0001110001
x: 0100101010, y: 0001110010
x: 0100101010, y: 0001110010
x: 0100101010, y: 0001110010
x: 0110011100, y: 0001110011
x: 1000001111, y: 0001110100
x: 1010000011, y: 0001110101
x: 1010000011, y: 0001110101
x: 1010000011, y: 0001110101
